month,year,rainfall,price
1,2018,25.3,1721.89
2,2018,49.7,1841.26
3,2018,85.5,1786.93
4,2018,99.8,1825.65
5,2018,104.1,1839.49
6,2018,98.8,1757.67
7,2018,106.3,1703.96
8,2018,92.9,1784.94
9,2018,63.6,1572.03
10,2018,43.8,1587.88
11,2018,29.0,1749.63
12,2018,44.2,1705.53
1,2019,27.0,1838.7
2,2019,44.5,1902.4
3,2019,72.0,1787.28
4,2019,105.5,1993.14
5,2019,98.5,1805.58
6,2019,112.9,1792.67
7,2019,111.2,1839.35
8,2019,88.2,1608.76
9,2019,56.2,1593.92
10,2019,49.7,1777.51
11,2019,30.2,1723.07
12,2019,29.8,1853.72
1,2020,60.6,1814.59
2,2020,45.1,1965.22
3,2020,76.8,2042.56
4,2020,95.8,1887.61
5,2020,110.5,1940.65
6,2020,118.2,1840.7
7,2020,115.3,1821.3
8,2020,103.8,1741.16
9,2020,68.3,1688.79
10,2020,62.1,1645.63
11,2020,39.0,1720.29
12,2020,30.3,1895.64
1,2021,37.3,1884.61
2,2021,36.4,1980.55
3,2021,76.5,2099.08
4,2021,86.9,1959.87
5,2021,107.1,2006.6
6,2021,109.0,1860.49
7,2021,110.7,1792.74
8,2021,85.5,1744.86
9,2021,80.7,1650.39
10,2021,51.3,1687.61
11,2021,47.3,1684.09
12,2021,24.4,1872.18
1,2022,51.0,1915.38
2,2022,44.4,2091.53
3,2022,55.5,1848.41
4,2022,94.4,1950.11
5,2022,94.4,1984.21
6,2022,112.4,1842.2
7,2022,91.8,1870.49
8,2022,96.5,1763.45
9,2022,88.5,1684.71
10,2022,34.7,1721.65
11,2022,34.9,1833.05
12,2022,27.6,1907.02
1,2023,22.8,2045.27
2,2023,49.2,2078.58
3,2023,73.4,2059.7
4,2023,95.7,2048.04
5,2023,111.1,2063.06
6,2023,112.0,1960.88
7,2023,103.7,1945.17
8,2023,83.2,1920.96
9,2023,69.6,1694.44
10,2023,51.3,1760.84
11,2023,43.8,1812.14
12,2023,25.5,1797.01
1,2024,30.8,1831.07
2,2024,34.2,2089.13
3,2024,77.9,2094.33
4,2024,80.3,2049.53
5,2024,104.6,1936.4
6,2024,125.0,2009.78
7,2024,102.4,1889.11
8,2024,92.1,1708.52
9,2024,67.5,1778.8
10,2024,40.0,1821.14
11,2024,53.3,1933.66
12,2024,24.3,1992.86
1,2025,49.4,2087.5
2,2025,50.6,2036.12
3,2025,77.0,2128.12
4,2025,99.0,2132.71
5,2025,115.1,2014.48
6,2025,123.2,2001.32
7,2025,125.4,1882.01
8,2025,107.4,1892.38
9,2025,63.5,1827.07
10,2025,46.8,1904.01
11,2025,40.6,1888.8
12,2025,29.8,2131.71
1,2026,52.6,2092.26
2,2026,50.4,2121.94
3,2026,76.1,2071.94
4,2026,87.4,2017.24
5,2026,108.6,2126.36
6,2026,105.2,2124.08
7,2026,92.4,1862.67
8,2026,92.2,1981.31
