month,year,rainfall,price
1,2018,60.9,1731.95
2,2018,71.8,1873.33
3,2018,100.6,2237.05
4,2018,97.5,2043.92
5,2018,121.1,1974.52
6,2018,110.4,1652.04
7,2018,125.2,1016.21
8,2018,88.2,815.75
9,2018,77.3,1258.75
10,2018,75.0,1198.18
11,2018,61.6,1082.83
12,2018,23.0,1517.45
1,2019,49.2,1727.49
2,2019,39.3,1864.27
3,2019,67.0,2060.58
4,2019,103.7,1724.78
5,2019,109.5,1559.77
6,2019,119.4,1725.83
7,2019,104.8,1444.45
8,2019,94.7,1065.08
9,2019,78.9,967.5
10,2019,54.5,990.14
11,2019,65.0,1362.1
12,2019,33.0,1591.47
1,2020,44.2,1716.86
2,2020,66.1,2044.68
3,2020,74.7,1861.56
4,2020,97.2,1502.65
5,2020,99.5,2018.96
6,2020,136.4,1535.64
7,2020,120.4,1436.09
8,2020,130.8,1438.73
9,2020,78.7,1005.81
10,2020,43.9,1264.8
11,2020,37.8,1119.66
12,2020,33.5,1382.35
1,2021,62.2,1942.03
2,2021,59.9,2197.79
3,2021,80.8,1835.08
4,2021,115.2,2040.7
5,2021,104.3,1763.38
6,2021,111.2,1351.78
7,2021,123.9,1748.28
8,2021,86.0,1355.83
9,2021,73.5,1113.34
10,2021,54.1,1098.18
11,2021,45.8,1251.31
12,2021,42.7,1593.36
1,2022,43.0,1641.08
2,2022,54.2,2090.52
3,2022,85.0,1838.79
4,2022,101.0,2100.81
5,2022,97.9,1918.5
6,2022,113.4,1727.71
7,2022,107.0,1101.17
8,2022,83.7,1286.8
9,2022,82.6,1063.61
10,2022,66.4,980.47
11,2022,44.7,1206.72
12,2022,33.5,1633.55
1,2023,36.8,1758.29
2,2023,70.1,1877.08
3,2023,88.4,1835.91
4,2023,105.3,2249.69
5,2023,89.9,1700.05
6,2023,125.8,1614.32
7,2023,118.4,1343.04
8,2023,100.9,1276.7
9,2023,91.7,1297.55
10,2023,63.4,1228.96
11,2023,40.5,1370.21
12,2023,43.9,1574.81
1,2024,48.3,2226.81
2,2024,68.7,1946.03
3,2024,92.0,1990.35
4,2024,79.6,1828.9
5,2024,95.9,1805.12
6,2024,120.2,1975.79
7,2024,117.9,1436.25
8,2024,108.3,931.83
9,2024,82.4,1413.11
10,2024,45.2,1530.25
11,2024,48.7,1398.56
12,2024,46.3,2083.67
1,2025,47.2,1921.76
2,2025,55.4,1873.75
3,2025,88.3,1933.15
4,2025,100.7,1951.54
5,2025,119.4,1955.97
6,2025,130.4,1607.75
7,2025,111.9,1322.61
8,2025,95.6,1419.84
9,2025,87.6,1133.15
10,2025,68.7,1595.91
11,2025,49.5,1835.25
12,2025,32.3,1472.8
1,2026,27.6,2167.42
2,2026,66.5,2042.39
3,2026,82.8,1907.83
4,2026,124.5,2088.34
5,2026,115.7,2050.0
6,2026,124.8,1763.02
7,2026,106.7,1606.87
8,2026,118.8,1621.59
