month,year,rainfall,price
1,2018,57.2,1169.48
2,2018,65.8,1284.01
3,2018,73.3,1397.12
4,2018,101.5,1155.36
5,2018,124.4,1353.87
6,2018,108.7,1165.13
7,2018,114.6,1056.05
8,2018,89.5,897.37
9,2018,74.7,1036.56
10,2018,60.4,924.51
11,2018,48.1,775.04
12,2018,46.5,976.8
1,2019,36.7,1133.34
2,2019,42.1,1414.79
3,2019,70.3,1374.73
4,2019,94.5,1365.52
5,2019,110.4,1138.49
6,2019,125.0,1113.91
7,2019,94.1,1017.38
8,2019,110.0,1063.82
9,2019,71.5,925.49
10,2019,51.8,1169.87
11,2019,44.2,1095.93
12,2019,45.3,1181.09
1,2020,37.8,1242.99
2,2020,54.3,1335.2
3,2020,82.3,1376.42
4,2020,102.3,1342.89
5,2020,110.4,1100.53
6,2020,124.2,1215.81
7,2020,119.6,825.48
8,2020,115.9,1002.01
9,2020,86.1,891.92
10,2020,61.1,915.96
11,2020,34.1,1254.38
12,2020,33.1,1203.73
1,2021,49.1,1333.37
2,2021,56.5,1398.13
3,2021,99.0,1395.47
4,2021,97.0,1470.32
5,2021,120.7,1415.14
6,2021,121.4,1107.74
7,2021,126.0,1010.33
8,2021,98.0,970.41
9,2021,74.4,1039.74
10,2021,58.2,1074.7
11,2021,56.5,1152.69
12,2021,32.6,1297.25
1,2022,52.3,1205.15
2,2022,61.0,1455.46
3,2022,72.0,1546.82
4,2022,93.5,1412.93
5,2022,107.9,1334.19
6,2022,104.0,1104.8
7,2022,125.6,1063.61
8,2022,85.1,868.95
9,2022,68.6,916.61
10,2022,71.4,1155.99
11,2022,33.5,1337.54
12,2022,44.8,1209.49
1,2023,15.4,1542.69
2,2023,41.1,1267.68
3,2023,85.2,1670.96
4,2023,108.8,1481.08
5,2023,115.6,1437.15
6,2023,122.6,1288.9
7,2023,110.7,1158.37
8,2023,87.5,1064.25
9,2023,58.1,1051.66
10,2023,45.1,988.24
11,2023,42.2,1287.8
12,2023,44.2,1123.68
1,2024,30.5,1449.84
2,2024,45.2,1422.56
3,2024,80.5,1389.92
4,2024,96.1,1334.75
5,2024,103.6,1413.72
6,2024,99.1,1326.1
7,2024,109.4,1239.94
8,2024,97.2,1240.15
9,2024,76.3,1050.99
10,2024,56.2,1164.53
11,2024,40.8,1192.38
12,2024,28.0,1229.34
1,2025,26.3,1548.41
2,2025,42.6,1406.43
3,2025,67.8,1582.12
4,2025,92.1,1592.91
5,2025,102.9,1436.35
6,2025,106.6,1507.06
7,2025,97.8,1242.75
8,2025,101.3,1181.64
9,2025,73.1,1103.89
10,2025,55.4,1128.68
11,2025,50.0,1415.45
12,2025,29.4,1192.33
1,2026,39.5,1651.5
2,2026,47.0,1643.37
3,2026,91.8,1481.74
4,2026,100.7,1654.86
5,2026,105.8,1419.76
6,2026,109.2,1249.45
7,2026,103.1,1131.92
8,2026,95.3,1100.6
