month,year,rainfall,price
1,2018,60.3,1879.25
2,2018,76.5,2039.76
3,2018,87.7,1959.6
4,2018,125.8,2008.82
5,2018,119.9,1943.05
6,2018,125.4,1811.86
7,2018,127.1,1653.76
8,2018,92.8,1678.27
9,2018,79.9,1712.34
10,2018,60.9,1629.5
11,2018,70.0,1760.46
12,2018,50.7,1764.12
1,2019,49.9,1934.64
2,2019,58.5,2010.22
3,2019,84.0,1997.6
4,2019,104.0,2112.64
5,2019,124.5,1889.71
6,2019,138.2,1810.48
7,2019,126.7,1692.93
8,2019,96.7,1766.42
9,2019,97.4,1748.39
10,2019,68.8,1739.36
11,2019,40.6,1768.4
12,2019,45.4,1954.24
1,2020,58.8,1865.54
2,2020,73.2,2008.78
3,2020,83.2,2093.69
4,2020,120.3,2101.83
5,2020,116.2,1975.38
6,2020,133.3,1983.53
7,2020,119.8,1840.34
8,2020,98.9,1725.16
9,2020,98.1,1861.59
10,2020,69.3,1859.7
11,2020,59.0,1817.64
12,2020,53.6,2026.32
1,2021,55.0,2106.63
2,2021,43.8,2118.79
3,2021,90.9,2082.19
4,2021,110.9,1967.29
5,2021,122.4,2058.29
6,2021,144.8,1937.62
7,2021,116.6,1862.88
8,2021,119.2,1861.69
9,2021,84.7,1851.0
10,2021,71.0,1899.86
11,2021,48.3,1877.09
12,2021,46.1,1887.1
1,2022,58.3,2070.91
2,2022,70.1,2101.34
3,2022,75.8,2114.64
4,2022,106.6,2079.75
5,2022,123.0,2103.2
6,2022,148.9,2021.8
7,2022,127.2,1932.12
8,2022,90.8,1878.13
9,2022,90.6,2010.88
10,2022,68.1,1901.4
11,2022,55.0,1869.63
12,2022,61.4,2064.33
1,2023,63.3,2043.43
2,2023,84.0,2075.4
3,2023,95.9,2316.31
4,2023,100.1,2134.94
5,2023,125.6,2091.14
6,2023,114.5,2052.29
7,2023,114.0,2005.02
8,2023,100.8,2016.21
9,2023,82.2,1884.5
10,2023,78.1,1852.96
11,2023,57.6,2060.57
12,2023,33.9,2068.17
1,2024,58.0,2186.1
2,2024,57.6,2118.32
3,2024,95.2,2244.6
4,2024,112.5,2233.57
5,2024,117.8,2176.11
6,2024,132.9,2050.08
7,2024,143.3,2051.42
8,2024,98.1,2004.2
9,2024,80.3,1992.76
10,2024,81.6,1920.09
11,2024,65.0,2050.02
12,2024,58.2,2216.54
1,2025,52.9,2135.21
2,2025,61.1,2191.12
3,2025,89.2,2288.35
4,2025,112.8,2304.45
5,2025,124.8,2292.43
6,2025,127.4,2297.31
7,2025,130.9,2011.71
8,2025,99.3,2035.94
9,2025,87.8,2031.5
10,2025,74.7,2005.94
11,2025,46.9,1973.64
12,2025,45.5,2194.21
1,2026,57.5,2148.38
2,2026,71.7,2306.78
3,2026,81.2,2317.9
4,2026,110.6,2227.91
5,2026,128.2,2281.38
6,2026,140.8,2241.35
7,2026,110.9,2045.86
8,2026,115.2,2082.2
