month,year,rainfall,price
1,2018,66.3,1349.98
2,2018,55.1,1618.61
3,2018,85.6,1961.06
4,2018,88.1,1992.73
5,2018,118.1,1386.3
6,2018,114.9,868.16
7,2018,127.9,1002.81
8,2018,92.1,515.89
9,2018,81.6,1101.93
10,2018,62.4,470.66
11,2018,47.9,924.69
12,2018,18.0,1220.76
1,2019,48.0,1642.87
2,2019,83.5,1928.38
3,2019,82.3,1506.41
4,2019,130.7,1705.65
5,2019,119.8,1505.16
6,2019,127.0,1232.29
7,2019,113.9,894.28
8,2019,104.7,713.13
9,2019,77.9,787.6
10,2019,62.5,1162.23
11,2019,23.8,1251.21
12,2019,57.5,812.47
1,2020,46.9,1437.82
2,2020,50.9,1534.53
3,2020,73.9,2164.08
4,2020,114.4,1999.91
5,2020,126.9,1293.14
6,2020,119.8,1400.63
7,2020,107.4,1200.47
8,2020,102.6,779.92
9,2020,92.1,894.05
10,2020,61.4,1116.25
11,2020,39.5,1178.94
12,2020,50.9,1229.54
1,2021,53.6,1275.3
2,2021,74.2,1698.47
3,2021,79.8,2040.25
4,2021,98.0,1437.84
5,2021,104.1,1701.43
6,2021,112.2,1707.88
7,2021,98.8,1445.54
8,2021,107.1,871.78
9,2021,79.6,912.24
10,2021,64.6,1134.41
11,2021,51.5,1108.29
12,2021,41.4,1313.68
1,2022,53.4,1204.28
2,2022,51.5,1929.26
3,2022,86.7,1800.03
4,2022,105.2,1855.26
5,2022,114.2,1428.41
6,2022,127.0,1138.8
7,2022,123.7,731.49
8,2022,115.3,1028.25
9,2022,87.6,1071.83
10,2022,81.7,1147.4
11,2022,32.0,820.79
12,2022,38.8,1361.55
1,2023,55.5,1451.17
2,2023,66.9,1631.86
3,2023,78.9,1559.87
4,2023,95.8,1510.01
5,2023,109.9,1860.78
6,2023,115.5,1961.45
7,2023,124.6,1176.85
8,2023,96.4,1105.52
9,2023,79.2,911.23
10,2023,90.6,934.44
11,2023,61.9,982.08
12,2023,44.7,1776.27
1,2024,44.1,2037.85
2,2024,72.1,1705.08
3,2024,91.3,2115.16
4,2024,111.2,1494.25
5,2024,112.4,1604.9
6,2024,124.3,1550.19
7,2024,121.4,871.94
8,2024,108.8,1117.64
9,2024,90.6,1153.86
10,2024,73.3,1084.01
11,2024,49.7,799.54
12,2024,49.3,1463.09
1,2025,53.1,1389.58
2,2025,54.2,2087.83
3,2025,84.6,2080.12
4,2025,105.3,1875.35
5,2025,129.0,1578.32
6,2025,126.0,1342.19
7,2025,115.3,1126.78
8,2025,107.2,907.75
9,2025,97.6,750.32
10,2025,63.1,914.72
11,2025,64.8,1240.47
12,2025,55.3,1121.47
1,2026,53.0,1896.17
2,2026,65.8,2122.29
3,2026,79.8,2269.53
4,2026,128.0,1822.39
5,2026,115.2,2039.52
6,2026,140.8,1361.09
7,2026,115.4,1162.82
8,2026,91.6,838.62
