month,year,rainfall,price
1,2018,30.5,2380.48
2,2018,45.7,2281.24
3,2018,69.5,2278.26
4,2018,76.8,2273.19
5,2018,86.9,2180.01
6,2018,95.1,2142.78
7,2018,117.8,1982.97
8,2018,86.9,1952.41
9,2018,55.3,2084.18
10,2018,40.6,1982.9
11,2018,18.2,2124.11
12,2018,12.7,2161.81
1,2019,25.8,2180.03
2,2019,61.4,2304.0
3,2019,39.7,2296.22
4,2019,73.4,2325.81
5,2019,86.7,2234.7
6,2019,105.0,2235.37
7,2019,82.6,2110.0
8,2019,75.3,2051.43
9,2019,77.7,2097.92
10,2019,27.4,2138.67
11,2019,46.6,2195.77
12,2019,4.8,2170.09
1,2020,38.0,2226.78
2,2020,44.4,2357.19
3,2020,50.7,2332.34
4,2020,47.6,2266.72
5,2020,92.1,2221.19
6,2020,116.3,2158.79
7,2020,90.2,2184.73
8,2020,94.4,2059.27
9,2020,71.6,2123.31
10,2020,30.2,2162.02
11,2020,27.3,2151.09
12,2020,20.7,2225.91
1,2021,26.5,2348.39
2,2021,55.9,2296.22
3,2021,81.3,2280.83
4,2021,78.5,2408.05
5,2021,97.5,2304.37
6,2021,97.9,2255.57
7,2021,88.7,2272.04
8,2021,83.6,2146.5
9,2021,69.0,2187.25
10,2021,48.1,2221.93
11,2021,17.1,2199.75
12,2021,27.5,2329.69
1,2022,25.1,2366.23
2,2022,52.8,2379.3
3,2022,65.5,2422.7
4,2022,77.8,2484.03
5,2022,102.9,2432.18
6,2022,113.1,2334.11
7,2022,101.5,2258.15
8,2022,83.2,2225.41
9,2022,61.0,2249.88
10,2022,31.8,2347.93
11,2022,15.3,2211.51
12,2022,31.6,2388.28
1,2023,31.6,2443.3
2,2023,39.9,2408.56
3,2023,60.8,2443.87
4,2023,89.8,2465.3
5,2023,86.4,2415.28
6,2023,104.1,2348.61
7,2023,86.4,2334.37
8,2023,82.4,2252.56
9,2023,55.3,2277.06
10,2023,25.5,2202.49
11,2023,18.2,2314.99
12,2023,23.1,2472.61
1,2024,33.9,2448.29
2,2024,39.8,2450.76
3,2024,59.8,2513.1
4,2024,83.2,2474.91
5,2024,99.8,2567.28
6,2024,98.9,2448.93
7,2024,101.5,2349.16
8,2024,82.2,2329.11
9,2024,61.0,2270.63
10,2024,40.2,2357.5
11,2024,39.9,2430.74
12,2024,41.5,2400.03
1,2025,34.1,2515.2
2,2025,61.9,2512.75
3,2025,51.6,2542.77
4,2025,58.8,2535.82
5,2025,87.0,2537.33
6,2025,103.4,2578.7
7,2025,104.1,2387.89
8,2025,71.0,2401.78
9,2025,46.8,2459.75
10,2025,51.8,2354.04
11,2025,8.2,2495.7
12,2025,18.9,2554.91
1,2026,9.4,2516.45
2,2026,40.1,2604.51
3,2026,55.5,2658.58
4,2026,69.3,2606.49
5,2026,95.8,2606.67
6,2026,107.1,2462.21
7,2026,79.3,2534.17
8,2026,83.3,2383.41
